takeoffThrust	launchMassKg	eccentricity	meanAltitude	periodMinutes	vehicleLength	classOfOrbit
1870	280	0.00203	1496	115.89	29	LEO
1870	280	0.0216	1337.5	116	29	LEO
1870	53	0.00104	824.5	101.4	29	LEO
1870	480	0.000591	400	93.4	29	LEO
1870	480	0.000591	400	93.4	29	LEO
1870	280	0.00203	1493	115.82	29	LEO
1870	280	0.000572	1501.5	116.01	29	LEO
1870	280	0.00184	1496.5	115.8	29	LEO
1870	280	0.00197	1495.5	115.88	29	LEO
1870	280	0.00197	1496.5	115.9	29	LEO
1870	65	0.00184	1495.5	115.9	29	LEO
1870	280	0.000635	1503	116.04	29	LEO
1870	468	0.000729	491	94	29	LEO
1870	280	0.00191	1492	115.8	29	LEO
1870	800	0.00156	687	98.5	29	LEO
1870	270	0.000826	1503.5	116.1	29	LEO
1870	280	0.000699	1503.5	116	29	LEO
1870	270	0.00203	1494	115.9	29	LEO
1870	280	0.00203	1493	115.8	29	LEO
1870	225	0.00134	1494.5	115.9	29	LEO
1870	280	0.00203	1494	115.8	29	LEO
1870	280	0.000699	1502.5	116	29	LEO
1870	225	0.000191	1494.5	115.9	29	LEO
1870	250	0.00273	1494.5	115.86	29	LEO
1870	250	0.00273	1494.5	115.86	29	LEO
1870	280	0.000508	1500	115.99	29	LEO
1870	280	0.000762	1500	116	29	LEO
1870	280	0.00197	1493.5	115.9	29	LEO
1870	280	0.000699	1500.5	116	29	LEO
1870	250	0.00248	1494.5	115.86	29	LEO
4146	650	0.000208	8066	287.93	51	MEO
4146	650	0.000951	7828.5	280.87	51	MEO
4146	650	0.000208	8066	287.93	51	MEO
4146	650	0.000381	8065.5	287.92	51	MEO
4146	650	0.000598	7835.5	281.08	51	MEO
4146	650	0.000208	8066	287.93	51	MEO
4146	650	0.000173	8065.5	287.93	51	MEO
4146	650	0.000493	7838	281.15	51	MEO
2974	140	0.000487	816.5	101.21	30	LEO
2974	830	0.000211	752.5	99.87	30	LEO
2974	115	0.000213	683.5	98.43	30	LEO
2974	2300	0.0000699	787.5	100.62	30	LEO
